frame,track_id,class_id,x,y,w,h,timestamp
89,41,32,481.53134,327.57587,40.3136,39.938812,2.966666666666667
90,41,29,476.2821,326.92288,40.212097,40.753235,3.0
91,41,29,471.0899,320.49316,40.510834,40.370148,3.033333333333333
91,33,32,202.06424,281.25537,30.05339,30.601593,3.033333333333333
92,41,29,466.23065,315.75702,40.535065,40.03235,3.066666666666667
92,33,32,205.38567,274.52765,30.532806,30.087067,3.066666666666667
93,41,32,461.10968,311.53357,40.549866,40.054596,3.1
93,33,32,208.80833,268.4612,30.36441,30.036331,3.1
94,41,29,455.6486,310.50876,40.483154,40.11377,3.1333333333333333
94,33,32,210.45206,263.47647,30.024017,29.995056,3.1333333333333333
95,41,29,451.79645,306.45496,40.382446,39.91266,3.1666666666666665
95,33,32,214.13495,257.90927,30.181076,30.109146,3.1666666666666665
96,41,32,446.23743,304.04962,40.897644,40.701324,3.2
96,33,29,216.65262,252.8829,30.277313,30.377518,3.2
97,41,29,441.25873,296.73126,40.70456,40.421417,3.2333333333333334
97,33,32,220.59943,244.9992,30.535522,30.26094,3.2333333333333334
98,41,29,436.44937,291.5318,40.384644,40.52826,3.2666666666666666
98,33,32,223.87384,238.37296,30.515991,29.9944,3.2666666666666666
99,41,29,430.45215,290.67157,40.58676,40.492798,3.3
101,43,29,421.331,281.76233,40.291138,40.4516,3.3666666666666667
102,43,29,417.43005,275.9558,40.576416,39.409576,3.4
103,43,29,411.53473,273.49774,40.400787,39.40706,3.433333333333333
104,43,29,406.6286,267.8908,40.8067,39.83754,3.466666666666667
105,43,29,401.68274,263.7805,40.58023,40.18779,3.5
106,43,29,395.84427,262.7256,40.26117,40.808212,3.533333333333333
107,43,29,391.38513,256.5668,40.73938,40.30284,3.566666666666667
108,43,29,385.63144,254.64433,40.387695,40.3273,3.6
109,43,29,379.9915,251.02664,40.186157,40.57068,3.6333333333333333
111,43,29,370.745,241.61862,40.371094,39.74237,3.7
112,43,29,366.9276,235.80441,41.039062,39.80565,3.7333333333333334
113,43,32,361.97992,231.38937,40.498108,39.63919,3.7666666666666666
114,43,11,356.9245,227.70914,40.302887,39.777237,3.8
115,43,29,352.1033,223.72308,40.93512,39.875443,3.8333333333333335
159,55,32,406.40405,148.50925,30.268555,30.204926,5.3
160,55,29,409.50397,154.64218,30.461426,30.398376,5.333333333333333
165,57,32,424.77975,184.73486,30.351501,30.754486,5.5
169,57,32,436.72424,208.75119,30.23285,30.375015,5.633333333333334
170,57,32,439.8551,214.84998,30.083313,30.064972,5.666666666666667
171,57,29,442.70248,220.73889,30.263794,30.02562,5.7
172,57,32,445.58295,226.77972,30.581451,30.192703,5.733333333333333
